x1 = 1.6000
x2 = 2.4000
dx = .2000

y1 = .0000
y2 = 1.5000
dy = .5000

   x   |    y   |    f
1.6000 | .0000  | -1.0004
1.6000 | .5000  | -.7766
1.6000 | 1.0000 | -.1486
1.6000 | 1.5000 | .5308
1.8000 | .0000  | 1.4143
1.8000 | .5000  | .0000
1.8000 | 1.0000 | .0000
1.8000 | 1.5000 | .0000
2.0000 | .0000  | .0000
2.0000 | .5000  | .0000
2.0000 | 1.0000 | .0000
2.0000 | 1.5000 | .0000
2.2000 | .0000  | .0000
2.2000 | .5000  | .0000
2.2000 | 1.0000 | .0000
2.2000 | 1.5000 | .0000
2.4000 | .0000  | .0000
2.4000 | .5000  | .0000
2.4000 | 1.0000 | .0000
2.4000 | 1.5000 | .0000
